深入理解JVM字节码:DiveintoJVMBytecode,https://img9.doubanio.com/view/subject/s/public/s33653216.jpg,76.3
程序员的数学2:概率统计,https://img3.doubanio.com/view/subject/s/public/s28340170.jpg,68.7
代码的未来,https://img9.doubanio.com/view/subject/s/public/s26393136.jpg,66.2
LaTeX入门,https://img3.doubanio.com/view/subject/s/public/s27790980.jpg,66.1
数据结构与算法分析:C语言描述,https://img9.doubanio.com/view/subject/s/public/s4459394.jpg,37.1
深入理解Linux网络：修炼底层内功，掌握高性能原理,https://img9.doubanio.com/view/subject/s/public/s34237505.jpg,59.0
Python源码剖析:深度探索动态语言核心技术,https://img2.doubanio.com/view/subject/s/public/s3435132.jpg,53.0
Linux命令行与shell脚本编程大全（第3版）,https://img1.doubanio.com/view/subject/s/public/s29584559.jpg,-1
程序员数学:用Python学透线性代数和微积分,https://img1.doubanio.com/view/subject/s/public/s34071359.jpg,103.3
与孩子一起学编程,https://img2.doubanio.com/view/subject/s/public/s4518521.jpg,54.4
Python基础教程（第3版）,https://img9.doubanio.com/view/subject/s/public/s29667615.jpg,79.0
JavaScript高级程序设计（第3版）,https://img3.doubanio.com/view/subject/s/public/s8958650.jpg,66.3
Java并发编程实战,https://img2.doubanio.com/view/subject/s/public/s7663093.jpg,56.9
架构整洁之道,https://img9.doubanio.com/view/subject/s/public/s29943454.jpg,-1
程序设计语言:概念和结构,https://img2.doubanio.com/view/subject/s/public/s28058593.jpg,158.08
